SeqNumber,temperature,iterSteps,A1,B1,E1,A2,B2,E2,Error
6,1800.0,149,4.4590420484922616e+16,0.0019018586625315617,2375199428.466213,10910.084740854483,1.6453834259262656,1373.6142181104437,0.07522352452233065

0,1200.0,149,1.357045314749857e+36,8.180990546503272,276572.72660632734,62356962.00960454,0.044199281215626204,1083211614.613033,0.016819339999680046
1,1300.0,149,13927174.548608964,1.3153796109013272,69.01134980510255,7.898047588322356e+19,9.700581130620083,391268813.01342756,0.0991180809263159
2,1400.0,149,16.05233175763394,3.7335722769754134,0.0001324973559055566,1.1756265724728668e+28,0.32832938343045137,120314.3261144448,1.0981052613511943e-05
3,1500.0,149,8.693829380837628e+21,0.0009628508436978389,65909.8503783704,6601481708255970.0,3.7766650014896705,121525.56634404552,2.733277082812699e-06
4,1600.0,149,961581527109.2535,0.026974474340306236,0.6172585239638441,22088.452558118788,1.8078826190541633,2.999340778858115,2.21296395776032e-06
5,1700.0,149,24323412.161565244,5.400404061761154,8522079020.094171,14.59895133330358,3.2735979447907058,24467.164256797976,0.1344754549500351
6,1800.0,149,9.08124007031789e+30,0.0017480399541060221,5046991351.7416525,141745970.89406022,0.3408024258437026,335.42444777961,0.0752045649660298

0,1200.0,149,7.969152600540052e+17,4.1792917244011285,108098.48423081877,1.4889328469743037e+49,6.312568994981991,335321.19743424683,0.0027694529191077968
1,1300.0,149,144530008041.86295,0.021913047389913405,0.013166807224849114,118480794755441.64,0.0009223567333487003,30335022.48490245,0.0991024910584846
2,1400.0,149,1745707.0654120445,3.2828687455838446,39523.08568622157,2859.1313449276813,2.8760869372997377,78477352581.97903,0.2266039750840664
3,1500.0,149,6.18880124205942e+22,2.2124813032633197,144677.07279889073,1.3197698481885546e+47,4.142875845173331,584789819.3470525,0.37946747314397916
4,1600.0,149,7.79421478833969e+37,0.0081569005082472,190797.37020326869,3434.202559741095,2.0000481821763016,8.926194255018153e-07,3.2891820772533157e-06
5,1700.0,149,2781461045.9330573,0.12235315504421046,4191492621.3411818,737.5711420468564,2.075201581181242,7580.227478784423,0.13428185454690914
6,1800.0,149,2.0321937816863794e+24,7.531547396800406,262917.0859579357,41577727062213.0,0.7357817923315734,4610.138289015538,0.000993652446236346

0,1100.0,149,3142586670.2341943,3.2436649681345955,50705.51936514783,1.2715910690973535e+47,2.756568597812799,59400989823.12844,0.0001049676368977141
1,1200.0,149,27738203244.214184,0.2680291791273996,996.7478069561063,3.719172855442304e+24,8.603501028763263,239045.13299029012,0.0031812993333313316
2,1300.0,149,1546612.361783482,2.7317985985686,223.7175823649402,146482949545.58923,0.18621297508916168,958.9284914395586,0.004226566075554355
3,1400.0,149,3568096277573.1445,1.4567078553987087,43104.16509901792,806779156339.904,5.639072801357989,210289626.78631774,0.22659219532199282
4,1500.0,149,1.927532673740598e+47,9.712770026453878,337424909.94798005,43346.17309192249,1.050783773151589,79.3863793299927,0.2024269699106377
