Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Axial Velocity C1 Inlet1 PFR (C1)_(cm/sec),Pressure C1 PFR PFR (C1)_(atm),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Plug flow residence time end point_(sec),Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1150,0.00012,1.792435,0.000262986,3.03E-17,6.21E-07,1.48E-26,1.22E-09,1.42E-06,4.24E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1175,0.00012,1.79261,0.000268946,1.71E-17,9.31E-07,7.94E-28,1.75E-09,1.34E-06,4.78E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1200,0.00012,1.792779,0.000274125,2.59E-17,1.38E-06,1.16E-29,2.48E-09,1.26E-06,5.36E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1225,0.00012,1.792942,0.00027874,4.09E-17,2.01E-06,3.35E-31,3.47E-09,1.18E-06,6.00E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1250,0.00012,1.793103,0.00028301,6.32E-17,2.90E-06,1.24E-32,4.80E-09,1.11E-06,6.68E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,550,0,1.8,0.000199819,0,6.90E-05,3.15E-05,0.00010199,1.80E-07,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,575,0,1.799999,0.000199738,0,6.90E-05,3.15E-05,0.000101918,2.59E-07,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,600,0,1.799992,0.000198174,0,6.88E-05,3.12E-05,0.000100641,1.80E-06,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,625,0,1.799726,0.000155233,0,6.89E-05,2.21E-05,6.45E-05,4.46E-05,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,650,0,1.798887,0.000117199,0,6.43E-05,1.00E-05,2.32E-05,8.27E-05,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,675,0,1.798213,0.000107532,0,5.59E-05,4.50E-06,8.27E-06,9.24E-05,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,700,0,1.797831,0.000108238,0,4.86E-05,2.22E-06,3.35E-06,9.17E-05,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,725,0,1.797634,0.000113355,0,4.29E-05,1.18E-06,1.50E-06,8.66E-05,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,750,0,1.797539,0.000121256,0,3.83E-05,6.46E-07,7.08E-07,7.87E-05,0
0.000102,6.90E-05,0.150093,3.15E-05,25,5,775,0,1.797499,0.000131599,0,3.42E-05,3.44E-07,3.25E-07,6.84E-05,1.17E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,800,0,1.797491,0.00014426,0,3.01E-05,1.64E-07,1.32E-07,5.57E-05,1.66E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,825,0,1.797499,0.000158508,0,2.54E-05,6.12E-08,3.99E-08,4.15E-05,2.24E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,850,0,1.797512,0.000172308,0,1.99E-05,1.40E-08,6.96E-09,2.77E-05,2.85E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,875,0,1.797522,0.000183026,0,1.37E-05,1.43E-09,6.42E-10,1.69E-05,3.34E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,900,0,1.797529,0.000189729,0,8.10E-06,5.19E-11,1.58E-10,1.02E-05,3.44E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,925,0,1.797536,0.00019351,0,4.13E-06,1.91E-12,9.10E-11,6.44E-06,3.10E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,950,0,1.79755,0.000195557,0,1.81E-06,6.70E-13,4.95E-11,4.38E-06,2.68E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,975,0,1.797573,0.000196596,0,6.74E-07,1.27E-16,2.80E-11,3.34E-06,2.54E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1000,0,1.797603,0.000197132,0,2.11E-07,-9.31E-18,2.21E-11,2.81E-06,2.69E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1025,0,1.797639,0.000197466,0,7.96E-08,-1.09E-18,2.72E-11,2.48E-06,3.03E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1050,0,1.797679,0.000197736,0,7.31E-08,-1.34E-21,4.03E-11,2.24E-06,3.47E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1075,0,1.797722,0.000197989,0,1.09E-07,-1.96E-20,6.09E-11,2.03E-06,3.98E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1100,0,1.797767,0.000198246,0,1.71E-07,3.09E-22,9.12E-11,1.85E-06,4.56E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1125,0,1.797812,0.000198525,0,2.65E-07,3.06E-26,1.35E-10,1.69E-06,5.20E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1150,0,1.797857,0.000198854,0,4.05E-07,2.11E-27,1.96E-10,1.55E-06,5.90E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1175,0,1.797903,0.000199275,0,6.09E-07,1.43E-28,2.82E-10,1.43E-06,6.66E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1200,0,1.79795,0.000199854,0,9.03E-07,1.57E-29,4.00E-10,1.32E-06,7.49E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1225,0,1.797996,0.000200692,0,1.32E-06,-2.45E-31,5.61E-10,1.23E-06,8.39E-08
0.000102,6.90E-05,0.150093,3.15E-05,25,5,1250,0,1.798045,0.000201944,0,1.91E-06,-1.15E-32,7.79E-10,1.14E-06,9.37E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,550,0.00024,0.9,0.000199997,0.000239999,0.000207,9.45E-05,0.000305999,0,0
0.000306,0.000207,0.150279,9.45E-05,50,0.5,575,0.00024,0.8999999,0.000199986,0.000239994,0.000206999,9.45E-05,0.000305994,0,0
0.000306,0.000207,0.150279,9.45E-05,50,0.5,600,0.00024,0.8999442,0.000184234,0.000230797,0.000206102,9.22E-05,0.000297219,6.86E-06,9.29E-08
0.000306,0.000207,0.150279,9.45E-05,50,0.5,625,0.00024,0.8994968,0.000151283,0.000200618,0.000206965,8.43E-05,0.000266798,1.36E-05,1.05E-06
0.000306,0.000207,0.150279,9.45E-05,50,0.5,650,0.00024,0.8986603,0.000102182,0.000142746,0.000212089,6.70E-05,0.000202437,1.38E-05,4.08E-06
0.000306,0.000207,0.150279,9.45E-05,50,0.5,675,0.00024,0.897238,4.10E-05,6.14E-05,0.000213529,3.63E-05,9.74E-05,9.07E-06,1.02E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,700,0.00024,0.8958782,2.01E-05,1.51E-05,0.000191653,1.16E-05,2.61E-05,5.07E-06,1.34E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,725,0.00024,0.894919,3.06E-05,5.19E-07,0.000122481,6.98E-07,1.25E-06,2.87E-06,1.26E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,750,0.00024,0.8943882,5.42E-05,5.05E-09,6.44E-05,1.49E-08,3.34E-08,2.50E-06,1.18E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,775,0.00024,0.8942027,8.39E-05,9.65E-11,3.93E-05,5.49E-10,9.40E-09,2.51E-06,1.21E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,800,0.00024,0.8942107,0.000118089,4.04E-12,2.72E-05,3.14E-11,6.47E-09,2.52E-06,1.28E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,825,0.00024,0.8943002,0.000153493,-1.15E-11,2.02E-05,1.81E-12,5.05E-09,2.52E-06,1.35E-05
0.000306,0.000207,0.150279,9.45E-05,50,0.5,850,0.00024,0.8944248,0.000186943,1.69E-13,1.54E-05,9.24E-14,4.12E-09,2.50E-06,1.36E-05
