Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction CO2 end point,Mole fraction NO end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
6.90E-05,0.789204,950,0.150093,3.15E-05,0.000102,-5.30E-13,0.1501903,7.19E-05,5.00E-06,1.86E-15,1.41E-09,1.34E-06,6.14E-06
0.000207,0.788614,950,0.150279,9.45E-05,0.000306,2.09E-13,0.1506029,0.000205603,5.34E-06,3.12E-18,1.79E-09,3.13E-06,1.00E-05
0,0.7895,950,0.15,0,0,7.94E-07,0.1499871,3.24E-05,1.97E-06,0,1.23E-08,1.45E-06,4.94E-06
0.000192,0.789218,950,0.150009,3.00E-07,8.10E-05,4.30E-14,0.1502038,8.63E-05,6.68E-06,3.94E-19,1.45E-09,1.60E-06,5.70E-06
0.000576,0.788653,950,0.150027,9.00E-07,0.000243,6.74E-15,0.1506451,0.000251092,9.40E-06,1.05E-20,1.99E-09,3.88E-06,8.54E-06
0,0.7895,975,0.15,0,0,1.35E-08,0.1499874,4.33E-05,1.55E-06,0,7.76E-10,7.93E-07,3.60E-06
6.90E-05,0.789204,975,0.150093,3.15E-05,0.000102,-2.68E-12,0.1501915,9.73E-05,3.80E-06,2.60E-16,1.22E-09,1.41E-06,4.99E-06
0.000207,0.788614,975,0.150279,9.45E-05,0.000306,1.65E-13,0.1506043,0.000237656,3.88E-06,2.29E-21,1.56E-09,2.94E-06,7.39E-06
0,0.7895,975,0.15,0,0,1.35E-08,0.1499874,4.33E-05,1.55E-06,0,7.76E-10,7.93E-07,3.60E-06
0.000192,0.789218,975,0.150009,3.00E-07,8.10E-05,-2.64E-13,0.1502053,0.000112887,5.19E-06,7.23E-19,1.25E-09,1.65E-06,4.60E-06
0.000576,0.788653,975,0.150027,9.00E-07,0.000243,5.21E-12,0.1506476,0.000276071,6.87E-06,1.25E-19,1.66E-09,3.51E-06,5.92E-06
0,0.7895,1000,0.15,0,0,7.07E-11,0.1499876,5.68E-05,1.26E-06,0,5.88E-10,6.65E-07,2.40E-06
6.90E-05,0.789204,1000,0.150093,3.15E-05,0.000102,2.16E-13,0.1501923,0.000124444,2.93E-06,2.17E-18,1.11E-09,1.43E-06,3.56E-06
0.000207,0.788614,1000,0.150279,9.45E-05,0.000306,1.23E-13,0.1506053,0.00026565,2.78E-06,-1.18E-20,1.39E-09,2.67E-06,4.64E-06
0,0.7895,1000,0.15,0,0,7.07E-11,0.1499876,5.68E-05,1.26E-06,0,5.88E-10,6.65E-07,2.40E-06
0.000192,0.789218,1000,0.150009,3.00E-07,8.10E-05,3.14E-15,0.1502065,0.000139591,4.04E-06,-2.75E-19,1.12E-09,1.63E-06,3.21E-06
0.000576,0.788653,1000,0.150027,9.00E-07,0.000243,9.67E-16,0.1506494,0.000297441,4.95E-06,-9.47E-20,1.41E-09,3.08E-06,3.51E-06
0,0.7895,1025,0.15,0,0,-1.26E-11,0.1499877,7.35E-05,1.11E-06,0,6.00E-10,6.67E-07,1.42E-06
6.90E-05,0.789204,1025,0.150093,3.15E-05,0.000102,8.40E-14,0.1501929,0.000152025,2.28E-06,-2.18E-18,1.03E-09,1.39E-06,2.10E-06
0.000207,0.788614,1025,0.150279,9.45E-05,0.000306,8.61E-14,0.1506059,0.000289716,1.99E-06,1.43E-20,1.28E-09,2.33E-06,2.36E-06
0,0.7895,1025,0.15,0,0,-1.26E-11,0.1499877,7.35E-05,1.11E-06,0,6.00E-10,6.67E-07,1.42E-06
0.000192,0.789218,1025,0.150009,3.00E-07,8.10E-05,2.58E-15,0.1502073,0.000165519,3.13E-06,1.81E-20,1.03E-09,1.54E-06,1.84E-06
0.000576,0.788653,1025,0.150027,9.00E-07,0.000243,3.87E-16,0.1506508,0.000315651,3.53E-06,3.84E-19,1.24E-09,2.62E-06,1.69E-06
0,0.7895,1050,0.15,0,0,-3.17E-12,0.1499877,9.35E-05,1.03E-06,0,6.22E-10,6.72E-07,6.96E-07
6.90E-05,0.789204,1050,0.150093,3.15E-05,0.000102,5.97E-14,0.1501933,0.000178894,1.81E-06,-4.52E-19,9.95E-10,1.29E-06,9.71E-07
0.000207,0.788614,1050,0.150279,9.45E-05,0.000306,5.47E-14,0.1506063,0.000310253,1.45E-06,-6.13E-19,1.24E-09,1.98E-06,9.24E-07
0,0.7895,1050,0.15,0,0,-3.17E-12,0.1499877,9.35E-05,1.03E-06,0,6.22E-10,6.72E-07,6.96E-07
0.000192,0.789218,1050,0.150009,3.00E-07,8.10E-05,7.97E-16,0.150208,0.000190165,2.44E-06,1.59E-18,9.72E-10,1.40E-06,8.26E-07
0.000576,0.788653,1050,0.150027,9.00E-07,0.000243,2.84E-17,0.1506518,0.000331125,2.51E-06,9.70E-21,1.15E-09,2.18E-06,6.35E-07
0,0.7895,1075,0.15,0,0,3.24E-13,0.1499877,0.00011622,9.94E-07,0,6.75E-10,6.66E-07,2.68E-07
6.90E-05,0.789204,1075,0.150093,3.15E-05,0.000102,3.92E-14,0.1501936,0.000204367,1.47E-06,-4.02E-20,1.02E-09,1.17E-06,3.31E-07
0.000207,0.788614,1075,0.150279,9.45E-05,0.000306,1.95E-14,0.1506066,0.000327709,1.11E-06,5.32E-17,1.33E-09,1.69E-06,2.66E-07
0,0.7895,1075,0.15,0,0,3.24E-13,0.1499877,0.00011622,9.94E-07,0,6.75E-10,6.66E-07,2.68E-07
0.000192,0.789218,1075,0.150009,3.00E-07,8.10E-05,3.12E-16,0.1502085,0.000213276,1.92E-06,2.36E-20,9.74E-10,1.25E-06,2.78E-07
